CustomerKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance
11025,Alejandro,Beck,Beck Alejandro,12/23/1945 0:00,M,M,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,1/9/2014 0:00,1 to 2 Miles
11026,Harold,Sai,Sai Harold,4/3/1946 0:00,S,M,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,1/26/2014 0:00,1 to 2 Miles
11027,Jessie,Zhao,Zhao Jessie,12/7/1946 0:00,M,M,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,1/19/2014 0:00,5 to 10 Miles
11028,Jill,Jimenez,Jimenez Jill,4/11/1946 0:00,M,F,30000,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,1/29/2014 0:00,1 to 2 Miles
11029,Jimmy,Moreno,Moreno Jimmy,12/21/1946 0:00,M,M,30000,2,0,Partial College,Clerical,1,2,6385 Mark Twain,1/22/2014 0:00,1 to 2 Miles
11030,Bethany,Yuan,Yuan Bethany,2/22/1947 0:00,M,F,10000,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,2/8/2014 0:00,1 to 2 Miles
11031,Theresa,Ramos,Ramos Theresa,8/22/1947 0:00,M,F,20000,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,2/4/2014 0:00,1 to 2 Miles
11032,Denise,Stone,Stone Denise,6/11/1947 0:00,M,F,20000,4,0,High School,Skilled Manual,1,2,626 Bentley Street,2/21/2014 0:00,1 to 2 Miles
11033,Jaime,Nath,Nath Jaime,9/23/1947 0:00,M,M,20000,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,2/18/2014 0:00,5 to 10 Miles
11034,Ebony,Gonzalez,Gonzalez Ebony,6/19/1947 0:00,M,F,20000,4,0,High School,Skilled Manual,1,2,5167 Condor Place,2/4/2014 0:00,5 to 10 Miles
11035,Wendy,Dominguez,Dominguez Wendy,2/24/1948 0:00,M,F,10000,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,2/9/2014 0:00,1 to 2 Miles
11036,Jennifer,Russell,Russell Jennifer,12/18/1978 0:00,M,F,60000,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,1/26/2016 0:00,1 to 2 Miles
11037,Chloe,Garcia,Garcia Chloe,11/27/1977 0:00,S,F,40000,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,1/24/2016 0:00,5 to 10 Miles
11038,Diana,Hernandez,Hernandez Diana,3/23/1948 0:00,M,F,10000,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,2/10/2014 0:00,5 to 10 Miles
11039,Marc,Martin,Martin Marc,12/17/1948 0:00,M,M,30000,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,2/10/2014 0:00,5 to 10 Miles
11040,Jesse,Murphy,Murphy Jesse,8/1/1977 0:00,M,M,30000,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,4/5/2016 0:00,1 to 2 Miles
11041,Amanda,Carter,Carter Amanda,10/16/1977 0:00,M,F,60000,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,1/18/2016 0:00,1 to 2 Miles
11042,Megan,Sanchez,Sanchez Megan,6/13/1977 0:00,M,F,70000,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,1/25/2016 0:00,0 to 1 Miles
11043,Nathan,Simmons,Simmons Nathan,2/24/1976 0:00,M,M,60000,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,5/9/2016 0:00,5 to 10 Miles
11044,Adam,Flores,Flores Adam,5/24/1949 0:00,M,M,20000,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,2/28/2014 0:00,1 to 2 Miles
11045,Leonard,Nara,Nara Leonard,5/19/1950 0:00,S,M,30000,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,4/12/2016 0:00,1 to 2 Miles
11046,Christine,Yuan,Yuan Christine,3/22/1950 0:00,M,F,30000,3,0,High School,Skilled Manual,1,2,2356 Orange St,2/9/2014 0:00,5 to 10 Miles
11047,Jaclyn,Lu,Lu Jaclyn,2/27/1950 0:00,M,F,30000,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,2/6/2014 0:00,1 to 2 Miles
11048,Jeremy,Powell,Powell Jeremy,11/22/1950 0:00,M,M,30000,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,2/13/2014 0:00,5 to 10 Miles
11049,Carol,Rai,Rai Carol,7/18/1980 0:00,S,F,40000,0,0,Partial High School,Clerical,1,2,6064 Madrid,3/10/2016 0:00,5 to 10 Miles
11050,Alan,Zheng,Zheng Alan,9/7/1951 0:00,M,M,30000,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,2/23/2014 0:00,5 to 10 Miles
11051,Daniel,Johnson,Johnson Daniel,8/4/1951 0:00,S,M,30000,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,2/23/2014 0:00,1 to 2 Miles
11052,Heidi,Lopez,Lopez Heidi,8/7/1951 0:00,S,F,40000,2,0,Partial College,Clerical,0,2,2514 Via Cordona,2/20/2014 0:00,5 to 10 Miles
11053,Ana,Price,Price Ana,8/20/1980 0:00,M,F,60000,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,1/21/2016 0:00,1 to 2 Miles
11054,Deanna,Munoz,Munoz Deanna,3/10/1952 0:00,M,F,40000,2,0,Partial College,Skilled Manual,1,2,5825 B Way,2/6/2014 0:00,5 to 10 Miles
11055,Gilbert,Raje,Raje Gilbert,3/5/1952 0:00,M,M,40000,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,2/3/2014 0:00,5 to 10 Miles
11056,Michele,Nath,Nath Michele,4/3/1953 0:00,M,F,40000,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,2/28/2014 0:00,5 to 10 Miles
11057,Carl,Andersen,Andersen Carl,10/12/1953 0:00,M,M,70000,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,2/25/2014 0:00,1 to 2 Miles
11058,Marc,Diaz,Diaz Marc,4/27/1954 0:00,M,M,80000,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,3/9/2014 0:00,1 to 2 Miles
11059,Ashlee,Andersen,Andersen Ashlee,4/1/1954 0:00,S,F,80000,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,2/22/2016 0:00,5 to 10 Miles
11060,Jon,Zhou,Zhou Jon,3/17/1954 0:00,M,M,80000,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,3/19/2014 0:00,5 to 10 Miles
11061,Todd,Gao,Gao Todd,2/27/1954 0:00,M,M,80000,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,3/13/2014 0:00,5 to 10 Miles
11062,Noah,Powell,Powell Noah,9/2/1975 0:00,M,M,40000,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,1/11/2016 0:00,5 to 10 Miles
11063,Angela,Murphy,Murphy Angela,4/7/1975 0:00,S,F,40000,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,1/16/2016 0:00,5 to 10 Miles
11064,Chase,Reed,Reed Chase,12/7/1975 0:00,M,M,40000,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,1/29/2016 0:00,5 to 10 Miles
11065,Jessica,Henderson,Henderson Jessica,10/9/1973 0:00,M,F,60000,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,2/14/2016 0:00,1 to 2 Miles
11066,Grace,Butler,Butler Grace,11/27/1973 0:00,M,F,70000,0,0,Partial College,Professional,1,2,4739 Garden Ave.,6/2/2016 0:00,5 to 10 Miles
11067,Caleb,Carter,Carter Caleb,9/25/1976 0:00,S,M,60000,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,8/19/2016 0:00,5 to 10 Miles
11068,Tiffany,Liang,Liang Tiffany,9/23/1955 0:00,S,F,80000,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,5/1/2016 0:00,5 to 10 Miles
11069,Carolyn,Navarro,Navarro Carolyn,9/21/1955 0:00,S,F,80000,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,4/18/2014 0:00,1 to 2 Miles
11070,Willie,Raji,Raji Willie,4/5/1955 0:00,M,M,80000,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,4/29/2014 0:00,5 to 10 Miles
11071,Linda,Serrano,Serrano Linda,6/26/1955 0:00,S,F,80000,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,3/2/2016 0:00,5 to 10 Miles
11072,Casey,Luo,Luo Casey,2/6/1955 0:00,S,F,80000,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,4/1/2014 0:00,1 to 2 Miles
11073,Amy,Ye,Ye Amy,8/14/1956 0:00,S,F,70000,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,3/24/2016 0:00,5 to 10 Miles
11074,Levi,Arun,Arun Levi,8/28/1956 0:00,S,M,70000,2,0,High School,Skilled Manual,1,2,4661 Bluetail,3/24/2016 0:00,5 to 10 Miles
11075,Felicia,Jimenez,Jimenez Felicia,11/16/1957 0:00,S,F,80000,2,0,High School,Professional,1,2,786 Eastgate Ave,4/29/2014 0:00,5 to 10 Miles
11076,Blake,Anderson,Anderson Blake,7/13/1957 0:00,S,M,80000,2,0,High School,Professional,1,2,5436 Clear,4/22/2014 0:00,5 to 10 Miles
11077,Leah,Ye,Ye Leah,9/19/1957 0:00,S,F,80000,2,0,High School,Professional,0,2,1291 Arguello Blvd.,4/16/2014 0:00,1 to 2 Miles
11078,Gina,Martin,Martin Gina,1/10/1974 0:00,S,F,40000,0,0,High School,Professional,0,2,1349 Sol St.,2/19/2016 0:00,1 to 2 Miles
11079,Donald,Gonzalez,Gonzalez Donald,3/11/1959 0:00,S,M,160000,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,3/16/2016 0:00,0 to 1 Miles
11080,Damien,Chander,Chander Damien,7/17/1959 0:00,M,M,170000,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,4/11/2014 0:00,0 to 1 Miles
11081,Savannah,Baker,Baker Savannah,7/24/1966 0:00,M,F,120000,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,2/16/2016 0:00,2 to 5 Miles
11082,Angela,Butler,Butler Angela,8/4/1966 0:00,S,F,130000,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,1/26/2016 0:00,1 to 2 Miles
11083,Alyssa,Cox,Cox Alyssa,3/15/1966 0:00,M,F,130000,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,1/10/2016 0:00,1 to 2 Miles
11084,Lucas,Phillips,Phillips Lucas,9/12/1957 0:00,S,M,80000,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,1/8/2016 0:00,1 to 2 Miles
11085,Emily,Johnson,Johnson Emily,7/19/1957 0:00,S,F,60000,2,0,High School,Professional,0,2,7926 Stephanie Way,12/8/2016 0:00,5 to 10 Miles
11086,Ryan,Brown,Brown Ryan,12/23/1957 0:00,M,M,70000,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,7/3/2016 0:00,0 to 1 Miles
11087,Tamara,Liang,Liang Tamara,10/3/1957 0:00,M,F,70000,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,2/29/2016 0:00,0 to 1 Miles
11088,Hunter,Davis,Davis Hunter,11/25/1957 0:00,M,M,80000,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,1/17/2016 0:00,2 to 5 Miles
11089,Abigail,Price,Price Abigail,2/5/1957 0:00,S,F,80000,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,1/2/2016 0:00,2 to 5 Miles
11090,Trevor,Bryant,Bryant Trevor,12/17/1957 0:00,S,M,90000,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,8/7/2014 0:00,2 to 5 Miles
11091,Dalton,Perez,Perez Dalton,4/4/1957 0:00,M,M,90000,2,0,Partial College,Professional,1,1,6083 San Jose,2/2/2016 0:00,5 to 10 Miles
11092,Cheryl,Diaz,Diaz Cheryl,5/6/1967 0:00,M,F,90000,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,4/9/2014 0:00,1 to 2 Miles
11093,Aimee,He,He Aimee,9/10/1967 0:00,M,F,100000,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,4/8/2014 0:00,0 to 1 Miles
11094,Cedric,Ma,Ma Cedric,4/1/1962 0:00,S,M,70000,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,4/9/2016 0:00,0 to 1 Miles
11095,Chad,Kumar,Kumar Chad,9/1/1962 0:00,S,M,70000,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,4/2/2014 0:00,5 to 10 Miles
11096,Andrés,Anand,Anand Andrés,8/10/1962 0:00,M,M,60000,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,4/12/2014 0:00,5 to 10 Miles
11097,Edwin,Nara,Nara Edwin,10/27/1961 0:00,M,M,60000,1,0,Partial College,Skilled Manual,1,1,719 William Way,4/5/2014 0:00,5 to 10 Miles
11098,Mallory,Rubio,Rubio Mallory,5/1/1961 0:00,S,F,60000,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,2/15/2016 0:00,0 to 1 Miles
11099,Adam,Ross,Ross Adam,3/8/1961 0:00,M,M,60000,1,0,Bachelors,Professional,1,1,4378 Westminster Place,4/8/2014 0:00,0 to 1 Miles
11100,Latasha,Navarro,Navarro Latasha,9/15/1960 0:00,S,F,60000,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,4/17/2014 0:00,5 to 10 Miles
11101,Abby,Sai,Sai Abby,5/8/1965 0:00,S,F,70000,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,4/30/2014 0:00,0 to 1 Miles
11102,Julia,Nelson,Nelson Julia,4/21/1965 0:00,S,F,80000,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,7/17/2016 0:00,1 to 2 Miles
11103,Cassie,Chande,Chande Cassie,10/17/1964 0:00,S,F,70000,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,4/16/2014 0:00,5 to 10 Miles
11104,Edgar,Sara,Sara Edgar,3/11/1964 0:00,M,M,70000,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,5/4/2014 0:00,0 to 1 Miles
11105,Candace,Fernandez,Fernandez Candace,12/28/1964 0:00,S,F,70000,0,0,Bachelors,Professional,0,1,5029 Blue Ridge,5/14/2014 0:00,5 to 10 Miles
11106,Jessie,Liu,Liu Jessie,9/11/1964 0:00,S,M,70000,0,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,5/18/2014 0:00,5 to 10 Miles
11107,Bianca,Lin,Lin Bianca,9/9/1959 0:00,M,F,90000,1,0,Bachelors,Professional,1,1,7530 Eola,5/1/2014 0:00,5 to 10 Miles
11108,Kari,Alvarez,Alvarez Kari,7/14/1963 0:00,S,F,70000,0,0,Bachelors,Professional,0,2,9178 Thornhill Place,5/3/2014 0:00,0 to 1 Miles
11109,Ruben,Kapoor,Kapoor Ruben,11/5/1963 0:00,S,M,70000,0,0,Bachelors,Professional,0,2,1984 Glendale Circle,5/10/2014 0:00,0 to 1 Miles
11110,Curtis,Yang,Yang Curtis,6/6/1962 0:00,M,M,60000,1,0,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,5/1/2014 0:00,5 to 10 Miles
11111,Meredith,Gutierrez,Gutierrez Meredith,2/23/1962 0:00,M,F,60000,1,0,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,5/20/2014 0:00,0 to 1 Miles
11112,Crystal,Wang,Wang Crystal,9/9/1962 0:00,M,F,60000,1,0,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,5/25/2014 0:00,0 to 1 Miles
11113,Micheal,Blanco,Blanco Micheal,2/21/1962 0:00,M,M,70000,5,4,Bachelors,Professional,1,2,596 Marfargoa Drive,2/5/2016 0:00,5 to 10 Miles
11114,Leslie,Moreno,Moreno Leslie,5/28/1962 0:00,S,F,70000,5,4,Partial College,Skilled Manual,1,2,7941 Cristobal,3/19/2016 0:00,5 to 10 Miles
11115,Alvin,Cai,Cai Alvin,2/12/1962 0:00,M,M,70000,5,4,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,2/14/2016 0:00,0 to 1 Miles
11116,Clinton,Carlson,Carlson Clinton,10/7/1962 0:00,M,M,70000,5,4,Partial College,Skilled Manual,1,2,7943 Cunha Ct.,3/16/2016 0:00,5 to 10 Miles
11117,April,Deng,Deng April,2/21/1961 0:00,M,F,70000,5,4,Partial College,Skilled Manual,1,3,485 Ash Lane,5/6/2014 0:00,10 or more Miles
11118,Alvin,Zeng,Zeng Alvin,7/3/1957 0:00,S,M,80000,1,0,Partial College,Skilled Manual,0,1,3853 Wildcat Circle,7/11/2016 0:00,0 to 1 Miles
11119,Evan,James,James Evan,4/10/1935 0:00,S,M,30000,2,0,Partial College,Clerical,0,2,4157 Sierra Ridge,2/7/2016 0:00,0 to 1 Miles
11120,Beth,Jiménez,Jiménez Beth,8/9/1936 0:00,S,F,40000,2,0,Bachelors,Management,1,1,7401 Las Palmas,5/14/2014 0:00,5 to 10 Miles
11121,Orlando,Suarez,Suarez Orlando,11/18/1960 0:00,M,M,70000,5,4,Partial College,Skilled Manual,1,3,7743 Hames Dr,6/26/2016 0:00,10 or more Miles
11122,Byron,Vazquez,Vazquez Byron,4/2/1960 0:00,M,M,70000,5,4,Partial College,Skilled Manual,1,3,3187 Hackamore Lane,2/25/2016 0:00,5 to 10 Miles
11123,Philip,Alvarez,Alvarez Philip,6/20/1960 0:00,M,M,70000,5,4,Partial College,Skilled Manual,1,3,2775 Mt. Olivet Pl.,4/19/2016 0:00,10 or more Miles
11124,Ross,Jordan,Jordan Ross,7/27/1957 0:00,S,M,80000,1,0,Partial College,Skilled Manual,1,1,6973 Dublin Court,5/5/2014 0:00,5 to 10 Miles
11125,Dana,Navarro,Navarro Dana,4/8/1956 0:00,S,F,70000,1,0,Partial College,Skilled Manual,1,1,8481 Zartop Street,2/4/2016 0:00,5 to 10 Miles
11126,Shaun,Carson,Carson Shaun,4/7/1949 0:00,M,M,10000,2,1,High School,Skilled Manual,0,2,57 Wolf Way,5/28/2014 0:00,0 to 1 Miles
11127,Jan,Edwards,Edwards Jan,10/21/1975 0:00,M,F,40000,0,0,High School,Skilled Manual,1,1,9409 The Alameda,4/12/2016 0:00,5 to 10 Miles
11128,Samantha,Long,Long Samantha,12/5/1975 0:00,M,F,40000,0,0,High School,Skilled Manual,1,1,1606 Alderwood Lane,6/21/2016 0:00,5 to 10 Miles
11129,Julia,Wright,Wright Julia,8/5/1975 0:00,S,F,40000,0,0,High School,Skilled Manual,1,1,7397 Central Blvd.,8/6/2014 0:00,5 to 10 Miles
11130,Caroline,Russell,Russell Caroline,1/6/1980 0:00,M,F,30000,0,0,High School,Skilled Manual,1,2,3884 Bates Court,12/11/2016 0:00,5 to 10 Miles
11131,Amanda,Rivera,Rivera Amanda,3/12/1980 0:00,M,F,30000,0,0,High School,Skilled Manual,0,2,9573 Royal Oak Rd.,10/20/2016 0:00,0 to 1 Miles
11132,Melissa,Richardson,Richardson Melissa,10/26/1980 0:00,S,F,30000,0,0,High School,Skilled Manual,0,2,6832 Fruitwood Dr,4/11/2016 0:00,5 to 10 Miles
11133,Angela,Griffin,Griffin Angela,9/8/1980 0:00,S,F,30000,0,0,Partial High School,Clerical,0,2,3828 Baltic Sea Ct,5/3/2014 0:00,0 to 1 Miles
11134,Larry,Townsend,Townsend Larry,2/26/1946 0:00,S,M,10000,5,0,High School,Skilled Manual,1,2,7034 Carson,5/3/2014 0:00,5 to 10 Miles
11135,Marcus,Harris,Harris Marcus,11/3/1979 0:00,S,M,30000,0,0,Partial High School,Clerical,0,2,9068 Quiet Place Drive,4/20/2016 0:00,5 to 10 Miles
11136,Brianna,Morgan,Morgan Brianna,10/26/1978 0:00,S,F,40000,0,0,High School,Skilled Manual,0,2,9005 Eagle Ct.,1/7/2016 0:00,0 to 1 Miles
11137,Jasmine,Taylor,Taylor Jasmine,7/20/1978 0:00,M,F,40000,0,0,High School,Skilled Manual,1,2,2457 Matterhorn Court,8/1/2016 0:00,5 to 10 Miles
11138,Lauren,Davis,Davis Lauren,9/15/1978 0:00,M,F,40000,0,0,High School,Skilled Manual,0,2,8105 Pembrook Court,9/22/2016 0:00,0 to 1 Miles
11139,Tanya,Moreno,Moreno Tanya,11/9/1938 0:00,S,F,30000,2,0,Partial College,Clerical,0,2,6155 Wilbur Drive,9/17/2016 0:00,5 to 10 Miles
11140,Javier,Alvarez,Alvarez Javier,2/11/1977 0:00,S,M,30000,0,0,Partial High School,Clerical,0,2,8935 Etcheverry Dr.,3/20/2016 0:00,5 to 10 Miles
11141,Nicole,Ramirez,Ramirez Nicole,6/21/1977 0:00,M,F,40000,0,0,High School,Skilled Manual,0,2,1101 C Street,5/17/2016 0:00,0 to 1 Miles
11142,Eduardo,Patterson,Patterson Eduardo,8/14/1977 0:00,S,M,40000,0,0,High School,Skilled Manual,0,2,6255 Macalvey Dr.,2/17/2016 0:00,0 to 1 Miles
11143,Jonathan,Henderson,Henderson Jonathan,2/4/1977 0:00,M,M,40000,0,0,High School,Skilled Manual,1,2,165 East Lane Road,6/17/2016 0:00,5 to 10 Miles
11144,Edward,Hernandez,Hernandez Edward,9/9/1979 0:00,S,M,40000,0,0,High School,Skilled Manual,0,2,7607 Pine Hollow Road,1/29/2016 0:00,0 to 1 Miles
11145,Jasmine,Coleman,Coleman Jasmine,12/8/1979 0:00,S,F,40000,0,0,High School,Skilled Manual,0,2,1961 Oak Grove Road,1/29/2016 0:00,0 to 1 Miles
11146,Karla,Goel,Goel Karla,8/26/1939 0:00,S,F,40000,2,0,Bachelors,Management,1,2,3272 Corrie Lane,2/9/2016 0:00,5 to 10 Miles
11147,Ernest,Wu,Wu Ernest,2/5/1939 0:00,M,M,60000,2,0,Graduate Degree,Management,1,1,1832 RiverRock Dr,5/13/2014 0:00,0 to 1 Miles
11148,Ross,Vazquez,Vazquez Ross,8/16/1941 0:00,M,M,40000,2,0,Bachelors,Management,1,2,1201 Paso Del Rio Way,3/8/2016 0:00,5 to 10 Miles
11149,Theodore,Gill,Gill Theodore,4/20/1941 0:00,M,M,40000,2,0,Bachelors,Management,1,2,9120 Pinewood Court,6/6/2016 0:00,0 to 1 Miles
11150,Russell,Shen,Shen Russell,3/15/1941 0:00,S,M,40000,2,0,Bachelors,Management,1,2,4755 Easley Drive,3/28/2016 0:00,5 to 10 Miles
11151,Melinda,Gill,Gill Melinda,2/25/1942 0:00,S,F,60000,2,0,Graduate Degree,Management,0,1,805 Rainier Dr.,5/15/2014 0:00,0 to 1 Miles
11152,James,Williams,Williams James,1/10/1976 0:00,S,M,40000,0,0,High School,Skilled Manual,1,2,6827 Seagull Court,1/13/2016 0:00,5 to 10 Miles
